epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.749,6.38313,28.343,4.03103,0,0,0,0,6.77462,36.9649,4.12111,0.000409722,0.000409722,0.000409722
2,628.883,4.65553,11.3298,2.83243,3e-05,0.00515,2e-05,0,4.61385,9.50431,2.60276,0.000818208,0.000818208,0.000818208
3,945.057,4.0416,7.98704,2.16326,6e-05,0.01289,0.0004,0.00012,4.17049,8.89142,2.34958,0.00121844,0.00121844,0.00121844
4,1388.29,3.9133,7.01093,2.08088,0.00023,0.04639,0.00014,6e-05,3.77367,6.81686,2.16827,0.00121287,0.00121287,0.00121287
5,1834.08,3.77382,6.18031,1.99591,0.00047,0.13339,0.00082,0.00024,3.68015,6.20896,2.07289,0.0012005,0.0012005,0.0012005
6,2243.14,3.76054,5.6395,1.99511,0.00051,0.10939,0.00069,0.00017,3.9912,5.86888,2.17449,0.00118812,0.00118812,0.00118812
7,2677.02,3.68596,5.32018,1.91066,1,0.01993,0.03873,0.00748,3.59272,5.27614,1.9959,0.00117575,0.00117575,0.00117575
8,3052.63,3.58507,5.03615,1.8333,0.91876,0.02143,0.02718,0.01005,3.57308,5.3036,1.96091,0.00116337,0.00116337,0.00116337
9,3415.69,3.487,4.72628,1.75467,0.84831,0.06429,0.07237,0.02089,3.36326,4.69749,1.81946,0.001151,0.001151,0.001151
10,3702.66,3.39629,4.44299,1.72414,0.58773,0.08571,0.08185,0.02479,3.37833,4.47282,1.87386,0.00113863,0.00113863,0.00113863
11,3990.25,3.36805,4.26635,1.72653,0.88794,0.08571,0.11326,0.04361,3.12675,4.29723,1.7536,0.00112625,0.00112625,0.00112625
12,4278.37,3.26149,4.00534,1.6407,0.36083,0.11429,0.10745,0.03468,3.1615,4.00845,1.77958,0.00111388,0.00111388,0.00111388
13,4568.49,3.20613,3.82811,1.68619,0.70332,0.15367,0.14345,0.0565,3.09018,3.69686,1.72321,0.0011015,0.0011015,0.0011015
14,4859.59,3.06819,3.5805,1.61805,0.40422,0.11504,0.12603,0.04909,3.04832,3.70843,1.70936,0.00108913,0.00108913,0.00108913
15,5166.79,2.9699,3.37087,1.55457,0.29137,0.2483,0.24317,0.10075,2.77347,3.14099,1.59148,0.00107675,0.00107675,0.00107675
16,5476.82,2.86171,3.13676,1.53257,0.54081,0.26024,0.25621,0.10831,2.85883,3.08539,1.60745,0.00106437,0.00106437,0.00106437
17,5773.63,2.80489,3.05112,1.53042,0.53428,0.25263,0.24838,0.11198,2.72534,2.90144,1.58016,0.001052,0.001052,0.001052
18,6067,2.79833,3.03717,1.49903,0.55344,0.24382,0.23616,0.09861,2.76926,2.82195,1.57802,0.00103962,0.00103962,0.00103962
19,6358.58,2.70449,2.86584,1.49057,0.6572,0.23714,0.28061,0.11332,2.63082,2.86769,1.56323,0.00102725,0.00102725,0.00102725
20,6652.4,2.67444,2.80276,1.4631,0.68136,0.29475,0.33971,0.1452,2.65399,2.61417,1.52217,0.00101488,0.00101488,0.00101488
21,6942.57,2.58747,2.59988,1.42592,0.65123,0.29607,0.31965,0.11666,2.62967,2.54328,1.54436,0.0010025,0.0010025,0.0010025
22,7236.65,2.58531,2.53825,1.44431,0.73473,0.31179,0.37483,0.15233,2.52138,2.35725,1.48657,0.000990125,0.000990125,0.000990125
23,7534.4,2.54826,2.44732,1.42399,0.63121,0.25979,0.30099,0.11673,2.56444,2.53794,1.49895,0.00097775,0.00097775,0.00097775
24,7832.52,2.42515,2.25501,1.39422,0.73968,0.34198,0.39091,0.16735,2.42788,2.13777,1.45945,0.000965375,0.000965375,0.000965375
25,8124.77,2.48846,2.26802,1.38503,0.70675,0.39768,0.41662,0.19281,2.33905,2.11665,1.40511,0.000953,0.000953,0.000953
26,8416.96,2.4541,2.26917,1.38493,0.69503,0.34311,0.39688,0.17577,2.40212,2.15798,1.44784,0.000940625,0.000940625,0.000940625
27,8715.93,2.38391,2.16756,1.36485,0.81962,0.3184,0.42899,0.19093,2.38505,2.21193,1.43556,0.00092825,0.00092825,0.00092825
28,9011.06,2.32792,2.115,1.36814,0.62228,0.40212,0.40201,0.18025,2.32878,2.03707,1.40453,0.000915875,0.000915875,0.000915875
29,9306.73,2.37239,2.07903,1.37199,0.84555,0.35823,0.41537,0.18648,2.30295,2.00552,1.39249,0.0009035,0.0009035,0.0009035
30,9600.79,2.32611,2.08711,1.35802,0.77451,0.43009,0.4806,0.20379,2.424,1.89503,1.43623,0.000891125,0.000891125,0.000891125
