epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.438,6.48398,33.7501,4.10447,0,0,0,0,4.60792,79.497,2.8744,0.000409722,0.000409722,0.000409722
2,840.015,5.0098,13.4828,3.0778,0,0,0,0,5.29497,40.8638,2.78531,0.000818208,0.000818208,0.000818208
3,1256.87,4.30338,9.30575,2.309,0,0,0,0,4.63851,12.8453,2.2314,0.00121844,0.00121844,0.00121844
4,1666.08,4.15579,7.77012,2.18501,9e-05,0.01531,6e-05,2e-05,3.60998,7.85577,1.82921,0.00121287,0.00121287,0.00121287
5,2073.99,4.08612,6.60106,2.12488,5e-05,0.0102,3e-05,1e-05,4.03329,8.25504,2.01425,0.0012005,0.0012005,0.0012005
6,2482.93,4.10638,6.02903,2.17845,0,0,0,0,3.59385,6.06976,1.84033,0.00118812,0.00118812,0.00118812
7,2890.45,4.04825,5.61312,2.08492,0,0,0,0,3.79746,5.42538,1.92824,0.00117575,0.00117575,0.00117575
8,3302.74,3.98605,5.3272,2.07458,0,0,0,0,3.85011,5.14621,1.91871,0.00116337,0.00116337,0.00116337
9,3713.3,3.94562,5.13053,2.04734,0,0,0,0,3.64804,5.31221,1.84341,0.001151,0.001151,0.001151
10,4122.54,3.85881,5.12298,2.00982,0,0,0,0,4.02128,5.11411,2.02162,0.00113863,0.00113863,0.00113863
11,4572.36,3.86318,4.97791,1.99891,0.00015,0.00915,9e-05,1e-05,3.84845,4.9456,1.93227,0.00112625,0.00112625,0.00112625
12,5067.66,3.87972,4.87775,1.98855,0.00021,0.02694,0.00012,3e-05,3.60817,4.95246,1.83982,0.00111388,0.00111388,0.00111388
