epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.565,3.27676,4.1741,1.70859,0.84166,0.02048,0.05155,0.0168,3.16614,4.1705,1.74887,0.000410798,0.000410798,0.000410798
2,907.068,3.20616,3.94709,1.69505,0.63088,0.0791,0.06802,0.02342,3.03062,3.86597,1.73231,0.000820638,0.000820638,0.000820638
3,1335.22,3.1552,3.84141,1.70203,0.42418,0.07046,0.07253,0.02504,3.11345,3.70276,1.78741,0.0012236,0.0012236,0.0012236
4,1766.79,3.07807,3.61186,1.67428,0.49894,0.09898,0.09429,0.0365,2.85716,3.51339,1.65827,0.00121906,0.00121906,0.00121906
5,2204.77,3.00229,3.4414,1.6389,0.67,0.1305,0.11855,0.04501,2.8643,3.47855,1.6698,0.00120875,0.00120875,0.00120875
6,2634.52,2.95186,3.25237,1.61059,0.2308,0.1978,0.15817,0.05396,2.77007,3.12072,1.59957,0.00119844,0.00119844,0.00119844
7,3065.01,2.88998,3.12973,1.5997,0.256,0.11221,0.10183,0.03441,2.91611,3.35467,1.67191,0.00118812,0.00118812,0.00118812
8,3499.36,2.84019,3.05888,1.59216,0.53711,0.22045,0.19918,0.07291,2.61734,2.86438,1.57695,0.00117781,0.00117781,0.00117781
9,3958.9,2.74436,2.91873,1.55857,0.28411,0.21412,0.16794,0.05946,2.70348,2.92864,1.56946,0.0011675,0.0011675,0.0011675
10,4568.06,2.70568,2.81725,1.52537,0.35831,0.26423,0.26826,0.10027,2.56813,2.57933,1.53371,0.00115719,0.00115719,0.00115719
11,4942.18,2.61479,2.6348,1.4679,0.36659,0.28279,0.28938,0.10737,2.46896,2.42183,1.48885,0.00114688,0.00114688,0.00114688
12,5337.78,2.58638,2.48307,1.47953,0.34559,0.30034,0.26469,0.10235,2.46113,2.47677,1.48684,0.00113656,0.00113656,0.00113656
13,5700.93,2.54734,2.51025,1.4535,0.31756,0.32721,0.27903,0.10917,2.47624,2.4803,1.48274,0.00112625,0.00112625,0.00112625
14,6073.37,2.47804,2.47465,1.45681,0.33914,0.33735,0.31859,0.12217,2.38505,2.25091,1.45369,0.00111594,0.00111594,0.00111594
15,6439.39,2.45364,2.36015,1.43821,0.59841,0.28623,0.27004,0.10056,2.39264,2.37227,1.45403,0.00110563,0.00110563,0.00110563
16,6805.8,2.449,2.30626,1.41326,0.51252,0.32303,0.32225,0.12541,2.50183,2.23268,1.49565,0.00109531,0.00109531,0.00109531
17,7172.08,2.4487,2.24165,1.41568,0.43783,0.42891,0.36351,0.14802,2.32652,2.07921,1.42612,0.001085,0.001085,0.001085
18,7536.2,2.44132,2.23461,1.41678,0.32642,0.36121,0.32429,0.13662,2.29264,2.26256,1.41548,0.00107469,0.00107469,0.00107469
19,7909.21,2.37563,2.15157,1.38127,0.42126,0.36406,0.33027,0.13318,2.38378,2.22351,1.4463,0.00106437,0.00106437,0.00106437
20,8278.24,2.37511,2.14251,1.38647,0.45488,0.40081,0.37475,0.15231,2.22347,1.98672,1.37933,0.00105406,0.00105406,0.00105406
21,8645.58,2.32846,2.02534,1.35856,0.53901,0.45759,0.40382,0.15901,2.25993,1.96337,1.38709,0.00104375,0.00104375,0.00104375
22,9014.61,2.32694,2.02208,1.37747,0.47009,0.4204,0.38005,0.15619,2.25872,2.00162,1.41021,0.00103344,0.00103344,0.00103344
23,9382.87,2.26783,1.97917,1.34015,0.46089,0.41285,0.41024,0.17554,2.179,1.93511,1.37232,0.00102312,0.00102312,0.00102312
24,9750.85,2.26677,1.89348,1.34254,0.54844,0.41848,0.41715,0.17164,2.25742,1.92868,1.38857,0.00101281,0.00101281,0.00101281
25,10116.6,2.26035,1.88567,1.34377,0.49978,0.46485,0.41854,0.16419,2.24541,1.8903,1.38782,0.0010025,0.0010025,0.0010025
26,10485,2.23373,1.86465,1.33155,0.51834,0.45902,0.43868,0.18192,2.21763,1.81386,1.38208,0.000992188,0.000992188,0.000992188
