epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1301.07,2.78711,6.59882,1.59592,0.78692,0.01243,0.08059,0.03081,2.38951,5.73103,1.48247,0.000410798,0.000410798,0.000410798
2,2250.74,2.27795,3.92988,1.32529,0.74176,0.20083,0.32053,0.14318,2.09288,4.32188,1.33779,0.000819273,0.000819273,0.000819273
3,3240.39,2.18656,3.02684,1.31523,0.54291,0.46426,0.40404,0.16741,2.17978,3.46762,1.37211,0.0012195,0.0012195,0.0012195
4,3907.57,2.12039,2.50212,1.29741,0.54266,0.51896,0.49429,0.20355,2.11312,2.53423,1.33924,0.00121287,0.00121287,0.00121287
5,4575.73,2.10911,2.18512,1.28096,0.49521,0.50647,0.46101,0.19216,2.04855,2.50612,1.32034,0.0012005,0.0012005,0.0012005
6,5233.37,2.06356,1.86332,1.26104,0.64764,0.58638,0.57385,0.23688,2.08876,1.8279,1.33448,0.00118812,0.00118812,0.00118812
7,5891.9,2.05562,1.6934,1.27536,0.60984,0.63699,0.58249,0.23932,2.03618,1.68393,1.31752,0.00117575,0.00117575,0.00117575
8,6546.61,1.97591,1.55626,1.2434,0.58675,0.56635,0.54245,0.24037,2.0129,1.64853,1.29097,0.00116337,0.00116337,0.00116337
9,7216.22,1.98862,1.54635,1.23867,0.60907,0.70459,0.62635,0.27425,1.94437,1.58785,1.25529,0.001151,0.001151,0.001151
10,7871.21,2.00321,1.45237,1.23581,0.55544,0.60421,0.55523,0.24767,1.973,1.69237,1.26311,0.00113863,0.00113863,0.00113863
11,8523.72,1.94795,1.37548,1.19519,0.59346,0.64852,0.576,0.25045,1.93193,1.54263,1.25085,0.00112625,0.00112625,0.00112625
12,9182.76,1.89561,1.30383,1.1839,0.6627,0.58272,0.58936,0.26914,1.99263,1.4675,1.27371,0.00111388,0.00111388,0.00111388
13,9838.67,1.93569,1.29127,1.20255,0.60756,0.62294,0.59919,0.26321,1.95961,1.44978,1.24941,0.0011015,0.0011015,0.0011015
14,10493.2,1.85265,1.26712,1.18745,0.58286,0.67281,0.61234,0.2722,1.87297,1.40367,1.22638,0.00108913,0.00108913,0.00108913
15,11152.5,1.8472,1.21406,1.17333,0.63909,0.65928,0.64784,0.27528,1.95429,1.34749,1.2424,0.00107675,0.00107675,0.00107675
16,11802.8,1.82194,1.21708,1.16276,0.62554,0.68728,0.64976,0.27603,1.98203,1.31134,1.26954,0.00106437,0.00106437,0.00106437
17,12457.6,1.88896,1.26764,1.18632,0.64701,0.70444,0.66651,0.30198,1.88719,1.27639,1.23151,0.001052,0.001052,0.001052
18,13115.7,1.83815,1.19647,1.16382,0.67854,0.7506,0.6813,0.31691,1.82818,1.29772,1.20497,0.00103962,0.00103962,0.00103962
19,13773.9,1.78612,1.14633,1.1438,0.66233,0.69551,0.6652,0.30597,1.87141,1.23013,1.2221,0.00102725,0.00102725,0.00102725
20,14430.3,1.81339,1.11221,1.15935,0.59198,0.72726,0.65972,0.29054,1.92625,1.27329,1.23415,0.00101488,0.00101488,0.00101488
21,15083.1,1.78564,1.09289,1.14748,0.71992,0.73063,0.7234,0.31625,1.86541,1.23697,1.2161,0.0010025,0.0010025,0.0010025
22,15730,1.79577,1.08823,1.14798,0.71526,0.65639,0.6472,0.28892,1.90845,1.21485,1.22403,0.000990125,0.000990125,0.000990125
23,16381.4,1.76738,1.09955,1.13712,0.7026,0.74094,0.70128,0.32586,1.83854,1.1889,1.20119,0.00097775,0.00097775,0.00097775
24,17037,1.75156,1.01892,1.12819,0.72487,0.7903,0.71483,0.32227,1.83395,1.14717,1.19939,0.000965375,0.000965375,0.000965375
25,17684.3,1.74615,1.01289,1.13136,0.6729,0.79706,0.71264,0.32837,1.83886,1.15918,1.20053,0.000953,0.000953,0.000953
26,18336.5,1.70412,1.00368,1.11875,0.72781,0.71227,0.70318,0.3339,1.83565,1.13507,1.20517,0.000940625,0.000940625,0.000940625
27,18984.2,1.74822,0.98441,1.12533,0.72139,0.7478,0.69479,0.32301,1.80132,1.17135,1.18177,0.00092825,0.00092825,0.00092825
28,19631.1,1.69954,0.98423,1.11587,0.66821,0.75475,0.68108,0.299,1.89198,1.14262,1.2264,0.000915875,0.000915875,0.000915875
29,20291.8,1.73418,0.99546,1.11472,0.66614,0.77003,0.68275,0.3146,1.85428,1.17492,1.20704,0.0009035,0.0009035,0.0009035
30,20942.8,1.67692,0.96634,1.09829,0.76305,0.74149,0.70909,0.33048,1.80246,1.11672,1.18416,0.000891125,0.000891125,0.000891125
31,21595.7,1.67535,0.94383,1.09217,0.69077,0.74555,0.68251,0.3267,1.83999,1.11854,1.19795,0.00087875,0.00087875,0.00087875
32,22362.2,1.68942,0.9559,1.09766,0.71695,0.79287,0.7403,0.34956,1.82937,1.07433,1.19079,0.000866375,0.000866375,0.000866375
33,23077,1.65497,0.89891,1.08572,0.70941,0.79382,0.70828,0.3273,1.85535,1.05817,1.20361,0.000854,0.000854,0.000854
34,23728.6,1.69121,0.93352,1.11191,0.72497,0.78026,0.71246,0.3431,1.83637,1.09786,1.19481,0.000841625,0.000841625,0.000841625
35,24379.8,1.64348,0.9207,1.08723,0.75021,0.74646,0.71663,0.34195,1.81114,1.0676,1.18565,0.00082925,0.00082925,0.00082925
