epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.25,2.11777,5.16621,1.61899,0.47522,0.45677,0.43512,0.19665,1.91139,4.45599,1.53403,0.0003125,0.0003125,0.0003125
2,535.219,1.85447,2.26508,1.38158,0.67224,0.59405,0.6419,0.30351,1.80187,2.5821,1.45387,0.000626981,0.000626981,0.000626981
3,802.571,1.87334,1.93501,1.35319,0.46452,0.50488,0.44057,0.17327,1.99276,5.912,1.62129,0.000930737,0.000930737,0.000930737
4,1060.48,1.87337,1.80384,1.38335,0.42729,0.32607,0.36618,0.14644,2.07687,9.32909,1.64038,0.00118812,0.00118812,0.00118812
