epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1082.28,6.07684,27.3324,3.94718,0,0,0,0,6.46866,40.3226,3.81407,0.000410798,0.000410798,0.000410798
2,1991.21,4.449,9.9129,2.64037,0,0,0,0,4.01868,12.3265,2.40901,0.000820638,0.000820638,0.000820638
3,3279.65,4.02307,7.69867,2.26718,1e-05,0.00236,1e-05,0,4.06756,19.0185,2.45457,0.0012236,0.0012236,0.0012236
4,4484.24,3.901,6.73313,2.14517,7e-05,0.02924,4e-05,1e-05,4.02998,8.83615,2.37267,0.00121906,0.00121906,0.00121906
5,5467.08,3.79133,6.11661,2.07088,0.00117,0.18162,0.00105,0.00028,3.65794,6.09224,2.06256,0.00120875,0.00120875,0.00120875
6,6632.53,3.74098,5.50883,2.00102,0.00164,0.17112,0.00204,0.00068,3.46653,5.56618,1.9786,0.00119844,0.00119844,0.00119844
7,7685.98,3.67583,5.12651,1.98201,0.00175,0.32978,0.01093,0.00225,3.5001,5.7527,1.97612,0.00118812,0.00118812,0.00118812
8,8881.27,3.5759,4.92471,1.90068,0.00141,0.31044,0.01816,0.00546,3.43539,4.91442,1.91913,0.00117781,0.00117781,0.00117781
9,10070.2,3.49109,4.65235,1.83242,0.8528,0.01359,0.01859,0.00533,3.23687,4.68056,1.79422,0.0011675,0.0011675,0.0011675
10,10909.1,3.35991,4.50122,1.76989,0.88204,0.01829,0.03695,0.01171,3.18799,4.54086,1.72387,0.00115719,0.00115719,0.00115719
