epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7663,2.64639,2.73911,1.40336,0.31869,0.45357,0.30239,0.14202,2.12492,2.98238,1.34179,0.0001125,0.0001125,0.0001125
2,118.204,2.40354,2.10502,1.33763,0.32903,0.5688,0.32631,0.15538,2.07113,5.43832,1.34625,0.000232798,0.000232798,0.000232798
3,164.128,2.45857,2.20696,1.42822,0.46685,0.43123,0.40005,0.18156,1.93524,2.67903,1.30383,0.000348145,0.000348145,0.000348145
4,209.077,2.22593,1.75622,1.27418,0.50251,0.41429,0.40305,0.17122,2.12909,2.23363,1.36527,0.000458542,0.000458542,0.000458542
5,254.868,2.26731,1.78982,1.3147,0.48466,0.5417,0.42752,0.18778,2.11977,2.05519,1.3377,0.00056399,0.00056399,0.00056399
6,298.789,2.16748,1.70157,1.25645,0.52602,0.56275,0.43198,0.19316,2.04256,1.92337,1.29473,0.000664488,0.000664488,0.000664488
7,342.86,1.95653,1.69101,1.17314,0.42967,0.41429,0.41247,0.20705,2.09628,2.05287,1.32205,0.000760035,0.000760035,0.000760035
8,387.115,2.01255,1.55409,1.18935,0.50093,0.45137,0.39803,0.18092,2.30386,1.97157,1.36998,0.000850632,0.000850632,0.000850632
9,432.583,2.05507,1.61779,1.2459,0.4238,0.575,0.43252,0.20617,2.1019,1.64016,1.31968,0.00093628,0.00093628,0.00093628
10,477.759,1.949,1.45847,1.22444,0.51714,0.42665,0.39846,0.19324,2.21508,1.71581,1.39458,0.00101698,0.00101698,0.00101698
11,528.364,2.07672,1.84088,1.17967,0.48992,0.51208,0.51876,0.22462,2.05666,1.81319,1.32386,0.0010025,0.0010025,0.0010025
12,580.672,2.00598,1.57407,1.22554,0.48384,0.58571,0.54794,0.23092,2.00616,1.84076,1.29671,0.00097775,0.00097775,0.00097775
13,632.738,1.92669,1.54209,1.19107,0.68922,0.43185,0.47273,0.24823,2.03892,1.88759,1.31812,0.000953,0.000953,0.000953
