epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.371,5.11159,41.7627,3.08387,0,0,0,0,2.93223,73.0974,1.68084,0.000407801,0.000407801,0.000407801
2,542.693,5.47189,22.6164,3.33821,0,0,0,0,2.69295,50.763,1.5103,0.000808144,0.000808144,0.000808144
3,819.42,4.83575,12.223,2.80767,0,0,0,0,4.18796,19.159,1.94588,0.00119199,0.00119199,0.00119199
4,1099.7,4.34496,10.1171,2.36438,0,0,0,0,3.53931,8.49597,1.67068,0.00117575,0.00117575,0.00117575
5,1363.83,4.15512,7.85433,2.21729,0,0,0,0,3.78321,7.65171,1.74938,0.001151,0.001151,0.001151
6,1625.57,4.20779,7.09538,2.15558,0,0,0,0,3.11819,8.55603,1.49251,0.00112625,0.00112625,0.00112625
7,1891.71,4.19697,6.44502,2.19382,0,0,0,0,4.02615,8.82404,1.76421,0.0011015,0.0011015,0.0011015
8,2159.59,4.07377,6.11495,2.01802,0,0,0,0,3.1817,8.96739,1.52548,0.00107675,0.00107675,0.00107675
9,2431.92,4.02691,6.046,2.11584,0,0,0,0,3.93226,9.46538,1.70116,0.001052,0.001052,0.001052
10,2730.69,4.03185,5.67731,1.97265,0,0,0,0,3.71665,7.8978,1.6879,0.00102725,0.00102725,0.00102725
11,3036.64,4.13497,5.61532,2.05147,0,0,0,0,3.78537,5.69117,1.73185,0.0010025,0.0010025,0.0010025
12,3336.19,3.93884,5.32263,1.97735,0,0,0,0,3.58899,5.42333,1.64994,0.00097775,0.00097775,0.00097775
13,3618.39,3.86854,5.30298,1.9421,0,0,0,0,3.73878,5.29713,1.69636,0.000953,0.000953,0.000953
14,3884.88,4.02827,5.2588,1.96604,0,0,0,0,3.67503,5.29222,1.68483,0.00092825,0.00092825,0.00092825
15,4173.26,4.03285,5.13073,1.99384,0,0,0,0,3.66751,5.15218,1.65831,0.0009035,0.0009035,0.0009035
16,4471.73,3.94442,5.08406,1.94865,0,0,0,0,3.55838,5.02326,1.64312,0.00087875,0.00087875,0.00087875
17,4787.86,3.92421,5.04988,1.96191,0,0,0,0,3.77441,4.93608,1.71798,0.000854,0.000854,0.000854
18,5052.55,4.05985,5.06504,2.0217,0,0,0,0,3.68473,4.95332,1.69535,0.00082925,0.00082925,0.00082925
19,5328.3,3.95045,4.95659,1.95794,0,0,0,0,3.46297,4.85101,1.62295,0.0008045,0.0008045,0.0008045
20,5622.21,3.82642,4.84952,1.89733,0.00325,0.01163,0.00181,0.00038,3.49295,4.82784,1.60776,0.00077975,0.00077975,0.00077975
21,5933.57,3.9431,4.85568,1.95038,0.00019,0.00581,0.0001,2e-05,3.70243,4.83767,1.68718,0.000755,0.000755,0.000755
22,6244.39,3.80278,4.89274,1.913,0,0,0,0,3.43324,4.76793,1.59126,0.00073025,0.00073025,0.00073025
23,6526.77,3.89798,4.80422,1.96818,0,0,0,0,3.67394,4.94165,1.66504,0.0007055,0.0007055,0.0007055
24,6791.72,3.86682,4.8308,1.9424,0.00181,0.01163,0.00096,0.00024,3.62474,4.72114,1.66331,0.00068075,0.00068075,0.00068075
25,7054.34,3.84154,4.80859,1.96779,0,0,0,0,3.71137,4.68956,1.68085,0.000656,0.000656,0.000656
26,7317.7,3.75449,4.76378,1.87136,0,0,0,0,3.70208,4.83776,1.69683,0.00063125,0.00063125,0.00063125
